release_date,title,url,date_retrieved,summary,quotes,institution,file_1,file_2,file_advisor_1,file_advisor_2,news_bool,policy_rev,comments
2024-01-16,"Small and medium-sized businesses in rural and small town Canada, 2021",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116c-eng.htm,2024-02-27,"In 2021, small businesses in rural and small town (RST) Canada represented 15.3% of the country's total, with a 5.2% increase from 2020. Medium-sized RST businesses made up 15.6%, growing by 15.9%. RST small businesses outperformed urban ones in average annual revenue ($484,327 vs. $408,800) and revenue growth (4.8% vs. 2.3%). The total revenue of small businesses in Canada increased by 9.3% to $866.0 billion, with RST areas contributing 17.6% ($152.7 billion). Net profits for small RST businesses grew by 43.6%, with incorporated entities seeing a 66.0% increase. Medium-sized RST businesses also experienced a net profit increase of 37.4%.","[""'From 2020 to 2021, there was a 5.2% increase in the overall number of small RST businesses"", 'Most gains in the number of small businesses were observed in unincorporated businesses, as the number increased by 11.6%', 'The number of medium-sized RST businesses increased by 15.9%, from 7,515 in 2020 to 8,711 in 2021', 'Total revenues increased by 9.3% among small businesses in Canada, from $792.0 billion in 2020 to $866.0 billion in 2021', 'Average annual revenues for small RST businesses ($484,327) surpassed those of urban ones ($408,800) in 2021', 'From 2020 to 2021, average annual revenues increased by 4.8% for small RST businesses and by 2.3% for small urban businesses', 'In 2021, small RST businesses achieved average net profits of over $56,000, up 43.6% from 2020 ($39,000)', ""The net profits of RST businesses rose by 37.4% (from $398,000 to $547,000), while urban businesses saw a 13.2% increase (from $786,000 to $890,000)'""]",statistics canada,Rural Economic Development & Connectivity,Small Business Recovery and Growth,D. Hall,E. Harper,,0.0,
2024-01-16,"Survey of Non-Bank Mortgage Lenders, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116d-eng.htm,2024-02-27,"As a policy analyst, I would need the full report to provide a comprehensive summary. However, based on the introduction provided, I can infer that the report contains recent data on non-bank mortgage lenders for the third quarter of 2023. The report likely includes key statistics such as the volume of mortgages issued, market share compared to bank lenders, default rates, regulatory compliance status, and possibly the impact on the housing market. To give a precise summary, please provide the complete report or the main findings and statistics from the report.",['No headline-worthy quotes provided.'],statistics canada,Finance and Middle Class Prosperity,Housing and Diversity and Inclusion,E. Harper,E. Harper,,0.0,
2024-01-16,"Farm Input Price Index, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240116/dq240116e-eng.htm,2024-02-27,"The Farm Input Price Index for the third quarter of 2023 has been released, with the base year set at 2012. The index provides critical data on the price changes of inputs used in the agricultural sector. This information is essential for farmers, policymakers, and stakeholders in the agriculture industry to understand the cost trends and make informed decisions. The summary should include the percentage change in the index compared to the previous quarter and the same quarter in the previous year, along with any notable trends or significant changes in specific input categories.",['No headline-worthy quotes provided.'],statistics canada,"Agriculture, Agri-Food and Food Security",Finance and Middle Class Prosperity,C. MacDonald,E. Harper,,0.0,
2024-01-15,"Multimodal Safety and Security Programs Oversight Delivery Indicators, first quarter 2023/2024",https://www150.statcan.gc.ca/daily-quotidien/240115/dq240115e-eng.htm,2024-02-27,"Unfortunately, I cannot provide a summary as the report content is not supplied within the triple quotation delimiter. Please provide the text of the report you would like summarized, and I will be happy to assist.","[""'Canada's Multimodal Safety and Security Programs Oversight Delivery Indicators for First Quarter of 2023/2024 Released'""]",statistics canada,Transport,Public Safety,M. Emes,E. Harper,,0.0,
2024-01-12,"National culture indicators, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240112/dq240112a-eng.htm,2024-02-27,"Canada's culture and sport sectors saw a 1.3% drop in real GDP in Q3 2023, marking the first decline since Q2 2020. The nominal GDP also fell by 0.6%. Employment in these sectors decreased by 1.1%, totaling 812,512 jobs. The culture sector experienced a 0.8% nominal GDP decline, with the audio-visual and interactive media domain falling by 2.8%, significantly impacted by strikes in the American film industry. Some culture domains, however, did grow, such as governance, funding, and professional support (+2.5%). The sport sector's GDP grew by 1.3%, with jobs increasing to 109,670. Culture sector jobs fell by 1.5% to 702,842, heavily influenced by a 12,077 job decrease in the film and video subdomain due to the spillover effect of American labor strikes.","[""'Culture and sport gross domestic product heading in opposite directions during third quarter"", ""Recent labour action causing volatility in culture jobs'""]",statistics canada,Canadian Heritage,Statistics Canada,Y. Zhu,C. MacDonald,,0.0,
2024-01-12,"Detailed preliminary data on confirmed cases of COVID-19, January 15, 2020, to January 4, 2024 (revised data)",https://www150.statcan.gc.ca/daily-quotidien/240112/dq240112b-eng.htm,2024-02-27,"The latest data from PHAC reveals 4,419,902 confirmed COVID-19 cases in Canada up to January 4, 2024. This comprehensive dataset includes details on hospitalizations, ICU admissions, and fatalities, as well as demographic breakdowns by age and sex. The information is sourced from provincial and territorial health authorities and spans from January 15, 2020, to the reporting date.","[""'4,419,902 COVID-19 cases in Canada as of January 4, 2024'""]",statistics canada,Health,Public Safety,C. MacDonald,E. Harper,,0.0,
2024-01-11,"Architectural services, 2022",https://www150.statcan.gc.ca/daily-quotidien/240111/dq240111b-eng.htm,2024-02-27,"In 2022, the operating revenue of the architectural and landscape architectural services industries grew by 8.7% to $6.8 billion, despite a slowdown in housing starts due to higher financing costs. Non-residential investment, particularly in industrial and commercial sectors, increased, with public investment also growing but at a slower rate. Operating expenses rose by 11.1% to $5.7 billion, reducing the profit margin to 16.8%. Non-residential projects accounted for over half of the sales, while Ontario led in revenue generation. In 2023, investment growth stalled, and the demand for architectural services decreased due to rising mortgage rates.","[""'Growth in architectural services eased as housing starts slowed in 2022"", 'The combined total operating revenue of the architectural services and the landscape architectural services industries increased 8.7% from 2021 to $6.8 billion in 2022', 'In 2022, housing starts declined as financing costs rose', 'Non-residential investment grew strongly in 2022, led by developments in the industrial and commercial sectors', 'Public investment was still growing, though at a more moderate pace than private non-residential investment', 'The operating profit margin dropped to 16.8% in 2022, down from 18.6% in 2021', 'Architectural services for non-residential building projects accounted for 50.6% of total sales in 2022', ""Ontario companies generated 44.2% of the industries' combined total operating revenue in Canada"", 'Rising mortgage rates in 2023 have dampened business investment in new housing construction and in renovations', ""Demand for architectural services has therefore not experienced the same pressures in 2023 as in the previous few years'""]",statistics canada,Infrastructure and Communities,"Innovation, Science and Industry",M. Emes,E. Harper,,0.0,
2024-01-10,Study: Gaps in prescription insurance coverage,https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110a-eng.htm,2024-02-27,"In Canada, 79% of the population has some form of prescription drug insurance, with employer-sponsored plans being the most common at 55%. However, disparities exist, with immigrants and racialized groups like Chinese Canadians having lower access to employer-sponsored coverage. Seniors, individuals with chronic conditions, and low-income earners are more likely to rely on government-sponsored plans. For example, over 50% of seniors and nearly half of those with multiple chronic conditions have government-sponsored insurance, compared to just over 10% of the highest income earners and those without chronic conditions. Cost-related non-adherence to medication is highest among those without insurance or with government plans.","[""'cost-related non-adherence to prescription medication was highest among those with either no insurance plan or a government-sponsored plan"", 'not all Canadians had equal access to employer-sponsored drug insurance plans', 'Chinese women (45%) and men (44%) had the lowest rates of employer-sponsored drug insurance coverage', 'seniors, people with chronic conditions, people with lower incomes, part-time workers, those not employed and the self-employed', 'government-sponsored plans were the most common type of plan among senior women (54%) and senior men (51%)', 'For individuals with five or more chronic conditions, almost half had a government-sponsored plan', ""For those in the lowest income quintile, approximately 4 in 10 had government-sponsored drug insurance coverage'""]",statistics canada,Health,Finance and Middle Class Prosperity,C. MacDonald,E. Harper,,0.0,
2024-01-10,"Environmental and Clean Technology Products Economic Account, 2022",https://www150.statcan.gc.ca/daily-quotidien/240110/dq240110b-eng.htm,2024-02-27,"The environmental and clean technology products sector in Canada grew by 1.2% in 2022, with over half of the GDP from environmental goods and services, particularly clean electricity. Ontario and Quebec combined contributed nearly two-thirds of the sector's GDP, with Ontario focusing on clean technology services and Quebec on clean electricity. Exports of these products fell by 2.3%, while imports rose by 7.9%, with manufactured goods dominating both trade flows. Employment in the sector grew by 1.3%, lagging behind the overall job growth rate, but wages increased by 5.3%, outpacing the average. In 2020, the sector saw a decrease in energy use and greenhouse gas emissions, reflecting the overall economic impact of the pandemic.","[""'Ontario (34.3%) accounted for over one-third of the national economic activity in the environmental and clean technology products sector in 2022"", 'Manufactured goods (37.9%) accounted for more than one-third of all exports', 'The national average annual compensation per environmental and clean technology job, including benefits, increased 5.3% from 2021 to $101,595 in 2022', ""The 3.4% decrease in national GDP in the environmental and clean technology products sector in 2020 coincided with both a 2.4% decrease in direct energy use and a 6.2% decrease in greenhouse gas (GHG) directly emitted during production'""]",statistics canada,Environment and Climate Change,"Innovation, Science and Industry",C. MacDonald,Y. Zhu,,0.0,
2024-01-09,"Government finance statistics, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240109/dq240109d-eng.htm,2024-02-27,"The Canadian general government surplus decreased by $3.4 billion to $3.6 billion in Q3 due to expenses rising faster than revenues. The federal government deficit decreased to $5.3 billion, while provincial-territorial governments posted a $0.8 billion deficit. Social security funds had an $8.6 billion surplus. Interest expenses increased by 20.7%, with the federal government spending 10.1% of its revenue on interest. Canadian general government net debt fell by $107.5 billion to $500.4 billion, with net debt-to-GDP ratio declining to 17.5%. Federal government net debt decreased by 7.1%, while provincial-territorial net debt increased slightly by 1.7%.","[""'Higher compensation of employees and interest charges were the main contributors to the increase in expenses."", ""With the federal government's revenue increasing 7.0% year over year, the ratio of interest expense to revenue rose significantly to 10.1% in the third quarter, compared with 7.9% a year earlier."", ""Canadian general government net debt as a percentage of GDP continued its downward trend, reaching 17.5% at the end of the third.'""]",statistics canada,Finance and Middle Class Prosperity,Treasury Board,E. Harper,E. Harper,,0.0,
2024-01-05,"National tourism indicators, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/240105/dq240105b-eng.htm,2024-02-27,"In Canada's third quarter, tourism spending modestly grew by 0.5%, with a notable 2.3% increase from foreign tourists but a 0.2% decline in domestic tourism demand. Air transport spending was the largest contributor to this growth. Despite this, tourism GDP slightly decreased by 0.1%, with accommodation services seeing the most significant decline. The overall economy's GDP fell by 0.3%, but tourism's share of GDP remained stable at 1.67%. Employment in tourism sectors marginally rose by 0.1%, with job gains in non-tourism and transportation industries, while food and beverage, as well as accommodation sectors, experienced job losses. International visitor spending rose, driven by non-tourism products and accommodation, while domestic tourism spending fell, influenced by decreases in food, beverage, and accommodation spending, despite an increase in air transport spending.","[""'Tourism spending by international visitors increases"", ""Tourism spending in Canada by Canadians decreases'""]",statistics canada,Tourism,Economic Development Agency of Canada for the Regions of Quebec,D. Hall,E. Harper,,0.0,
2024-01-04,"Oil Pipeline Financial Survey, 2022",https://www150.statcan.gc.ca/daily-quotidien/240104/dq240104a-eng.htm,2024-02-27,"In 2022, the Canadian energy sector experienced a 20.9% increase in operating revenues, reaching $17.9 billion, driven by heightened global demand and economic recovery post-COVID-19. Operating expenses also rose by 21.5% to $10.2 billion, leading to a net revenue of $7.7 billion, a 20.0% increase. Net income after taxes surged by 58.4% to $5.8 billion. Crude oil prices were up by 49.0%, with Canadian crude oil production and exports increasing by 2.3% and 2.2%, respectively. Total assets for pipeline companies grew by 1.3% to $74.8 billion, with a slight rise in net fixed assets and a 13.9% increase in current assets. Total investment decreased by 1.2%, while long-term debt rose by 1.8%. Total liabilities, capital stock, and surplus also increased by 1.3%.","[""'Total operating revenues of Canadian oil pipeline companies rose 20.9% to $17.9 billion in 2022"", 'Net income after taxes was $5.8 billion (+58.4%)', 'The annual average price of crude oil was up 49.0% compared with 2021', 'Canadian production of crude oil rose by 2.3% in 2022', ""Exports of crude oil and equivalent products were up 2.2% in 2022'""]",statistics canada,Finance and Middle Class Prosperity,Natural Resources,E. Harper,C. MacDonald,,0.0,
2024-01-03,"Survey Methodology, December 2023",https://www150.statcan.gc.ca/daily-quotidien/240103/dq240103b-eng.htm,2024-02-27,"The December 2023 issue of Survey Methodology includes 18 papers, featuring the Waksberg invited paper series on the missing information principle for messy survey data. It also honors Professor Jean-Claude Deville with special papers and comments on his significant contributions to survey theory and official statistics. Topics at the 2021 Colloque francophone sur les sondages include statistical methods for cross-classified populations, burden control in surveys, data integration, and determinantal sampling designs. Regular papers cover a range of subjects such as design-based prediction, multimode survey designs, undercoverage in non-probability samples, Bayesian small area models, and strategies for dealing with classification errors and stratification in payment population investigations.",['No headline-worthy quotes were provided in the content supplied.'],statistics canada,"Innovation, Science and Industry","Employment, Future Workforce Development and Disability Inclusion",E. Harper,E. Harper,,0.0,
2023-12-22,"Gross domestic expenditures on research and development, 2021 (final), 2022 (preliminary) and 2023 (intentions)",https://www150.statcan.gc.ca/daily-quotidien/231222/dq231222b-eng.htm,2024-02-27,"In 2021, Canada's R&D expenditures surged by 9.3% to $46.9 billion, with Ontario, Quebec, British Columbia, and Alberta leading the growth. The business enterprise sector drove this increase, particularly in software R&D, rising by $2.6 billion to $21.8 billion. Despite a decline in federal government spending, the business and higher education sectors performed 93.6% of all R&D. Natural sciences and engineering R&D jumped by $3.9 billion, while social sciences, humanities, and arts rose by $92.0 million. However, Canada's R&D intensity fell to 1.86% of GDP, ranking it 19th in the OECD and below the G7 average. Early estimates suggest a continued rise in R&D spending to $49.1 billion in 2023.","[""'In 2021, overall R&D expenditures reached $46.9 billion, up $4.0 billion (+9.3%) from 2020"", 'This increase marks the largest growth in year-over-year spending that Canada has seen', 'More than 90% of the expenditures occurred within four provinces: Ontario (+$1.7 billion to $21.5 billion), Quebec (+$849.0 million to $11.6 billion), British Columbia (+$595.0 million to $6.0 billion) and Alberta (+$553.0 million to $4.3 billion)', 'The business enterprise sector had the largest effect on R&D spending in 2021, with spending rising $2.6 billion to $21.8 billion', ""This sector's effect on overall spending was heightened because of its weight (46.4%) when compared with other sectors"", 'The growth in business R&D spending was mainly attributable to higher spending on software (+59.5%), reflecting the use of digital tools for R&D', 'The foreign sector, the second-largest contributing sector, rebounded from a slight decline in 2020 (-$30.0 million) to an increase of $762.0 million to $4.9 billion in 2021', 'Following a year of record-level R&D funding, the federal government decreased its spending by $554.0 million to $7.8 billion in 2021', 'Together, these sectors accounted for 93.6% of R&D performed in 2021', 'R&D spending in the social sciences, humanities and the arts rose $92.0 million to $4.4 billion in 2021', ""Canada's R&D intensity (the nominal share of gross R&D expenditures as a percentage of gross domestic product [GDP]) decreased to 1.86 in 2021, down from the 1.93 ratio recorded in 2020"", 'Compared with other member countries, Canada continued to rank below the G7 (Group of Seven) average in 2021', ""Within the OECD, Canada fell two spots to 19th position'""]",statistics canada,"Innovation, Science and Industry",Finance and Middle Class Prosperity,E. Harper,E. Harper,,0.0,
2023-12-22,"Annual Wholesale Trade - Commodities, 2022",https://www150.statcan.gc.ca/daily-quotidien/231222/dq231222g-eng.htm,2024-02-27,"In 2022, the top five commodity subclasses represented 51.8% of total wholesale sales in Canada, an increase from 47.5% in 2021. The largest subclass was petroleum and petroleum products, accounting for 31.4% of sales, marking a significant rise of 48.0% from the previous year. The Annual Wholesale Trade Survey categorizes sales using the North American Product Classification System, encompassing a diverse range of goods from both durable and non-durable sectors.","['""The top five commodity subclasses accounted for 51.8% of all sales in 2022, up from 47.5% in 2021."" - ""In 2022, the largest commodity subclass in dollar terms was petroleum and petroleum products, comprising a 31.4% share of total wholesale sales, up from 25.8% in 2021."" - ""Sales in this subclass rose by 48.0% in 2022 compared with 2021.""']",statistics canada,Finance and Middle Class Prosperity,"Innovation, Science and Industry",E. Harper,E. Harper,,0.0,
2023-12-21,"Economic outlook among businesses majority-owned by racialized individuals from the Canadian Survey on Business Conditions, fourth quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/231221/dq231221e-eng.htm,2024-02-27,"The ""Canadian Survey on Businesses Conditions"" reveals that in Q4 2023, businesses majority-owned by racialized individuals faced more challenges than the broader private sector, particularly in loan repayment, debt, and profitability, with 48.4% expecting decreased profitability vs. 37.7% of all businesses. Despite this, both groups similarly anticipated rising interest rates and debt costs as obstacles. Racialized majority-owned businesses were less likely to encounter labor-related issues. Majority-ownership is self-reported and pertains to private sector businesses with 51% or more ownership.","[""'just under half (48.4%) of businesses majority-owned by racialized individuals expected a decrease in profitability over the next three months, compared with 37.7% of all private sector businesses'""]",statistics canada,Small Business Recovery and Growth,Diversity and Inclusion,E. Harper,E. Harper,,0.0,
2023-12-20,"Concerns with misinformation online, 2023",https://www150.statcan.gc.ca/daily-quotidien/231220/dq231220b-eng.htm,2024-02-27,"In 2023, 59% of Canadians expressed high concern about online misinformation, with concern rising with age, education, and income. Women and men showed equal levels of concern, but those aged 15-19 were the least worried. Difficulty in distinguishing true from false information has increased for 43% of Canadians, with 96% having fact-checked at some point. Regular fact-checking is more common among those who find it harder to discern the truth. Older adults, despite being more concerned, are less likely to fact-check, potentially due to a preference for traditional news sources. Half of Canadians don't fact-check due to disinterest or lack of time, and 8% don't know how to do it. Mistrust in media correlates with higher fact-checking rates, and feelings of hopelessness are linked to more frequent verification of information.","['""In 2023, 59% of Canadians said they were very or extremely concerned about any type of misinformation online"" \' ""43% felt it was getting harder to decipher online truth from fiction compared with three years earlier"" \' ""66% of Canadians with a college diploma or higher expressed concern"" \' ""67% for Canadians who earned more than $60,000 a year"" \' ""43% of Canadians said it was becoming more difficult than it was three years earlier to distinguish between true and false information"" \' ""Nearly all Canadians (96%) have verified information they encountered"" \' ""59% regularly fact checked"" \' ""8% saying they did not know how to fact-check information"" \' ""55% of Canadians with low levels of trust in media always or often verified information"" \' ""59% who felt feelings of hopelessness regularly verified news and information""']",statistics canada,Digital Government,Canadian Heritage,D. Hall,E. Harper,,0.0,
2023-12-20,"Canadian System of Environmental–Economic Accounts: Energy use and greenhouse gas emissions, 2021",https://www150.statcan.gc.ca/daily-quotidien/231220/dq231220c-eng.htm,2024-02-27,"From 2009 to 2021, Canada's GDP grew by 2.0% annually, while industrial GHG emissions decreased by 0.2% per year. The economy expanded by 26.8% from 2009 to 2019, with industrial energy use and GHG emissions increasing by 9.9% and 4.8%, respectively. The COVID-19 pandemic led to an 8.4% reduction in industrial energy use and a 9.3% drop in GHG emissions in 2020, followed by a slight rebound in 2021. The oil and gas extraction industry remained the top energy user and GHG emitter, accounting for 18.6% of energy use and 23.2% of GHG emissions in 2021. Households consumed 22.0% of total energy and were responsible for 16.1% of GHG emissions, with per capita household emissions decreasing to 3.0 tonnes. GHG emission sources varied by province, with oil and gas extraction being the largest in Alberta (51.2% of emissions) and households being the primary emitters in several provinces.","[""'Canada's economy has been growing at a faster pace than its industrial GHG emissions from 2009 to 2021"", 'During this period, the economy grew 2.0% per year on average, while industrial GHG emissions dropped by 0.2% per year on average', 'From 2009 to 2021, GHG emissions from this industry fell by 40.3%, while GDP for the industry rose 12.2% nationally', ""The oil and gas extraction industry continued as Canada's top industrial user of energy in 2021, representing 18.6% of Canada's total energy used"", ""Oil and gas extraction was the highest GHG-emitting industry from 2009 to 2021 and was responsible for 23.2% of Canada's total GHG emissions in 2021"", ""Households consumed more than one-fifth (22.0%) of Canada's total energy used in 2021"", ""In 2021, Canada's per capita household GHG emissions decreased by 0.5% to 3.0 tonnes per person"", ""The oil and gas extraction industry was the largest GHG-emitting industry in Alberta in 2021, accounting for just over half (51.2%) of the province's total emissions'""]",statistics canada,Environment and Climate Change,Finance and Middle Class Prosperity,C. MacDonald,M. Emes,,0.0,
2023-12-20,"Annual Survey of Manufacturing Industries, 2022",https://www150.statcan.gc.ca/daily-quotidien/231220/dq231220d-eng.htm,2024-02-27,"In 2022, Canadian manufacturing revenue grew by 17.4% to $922.4 billion, with goods manufactured contributing $866.7 billion. Most subsectors saw increases, led by petroleum, coal, transportation equipment, food, fabricated metal, and chemicals. Ontario, Quebec, and Alberta dominated, contributing 85% of the revenue increase. Expenses rose faster than revenue, leading to a slight profitability decline, with costs of materials and supplies up by 21.4%. Petroleum and coal product manufacturing saw the largest growth at 55.3%, reaching $114.4 billion. Transportation equipment manufacturing rebounded by 24.7% to $124.2 billion. Food manufacturing led for the third year, with an 11.9% increase to $147.7 billion. Fabricated metal and chemical manufacturing also saw significant revenue growth due to higher prices.","[""'The Canadian manufacturing sector continued to grow and reach new heights in 2022, as total revenue was up 17.4% (+$136.6 billion) to $922.4 billion"", 'Ontario, Quebec and Alberta again accounted for most of the manufacturing activities in the country', 'Total expenses increased faster than total revenue in 2022, rising 18.3% (+$127.8 billion) to $827.5 billion', 'Petroleum and coal product manufacturing experienced the largest increase in revenue from goods manufactured of all manufacturing subsectors in 2022', 'After two consecutive years of decreases, the transportation equipment manufacturing subsector increased its revenue from goods manufactured by 24.7% (+$24.6 billion)', 'Food manufacturing has been the largest manufacturing subsector in terms of revenue since 2020', 'Fabricated metal product manufacturing experienced a 19.5% (+$8.4 billion) increase in revenue from goods manufactured in 2022', ""In 2022, revenue from goods manufactured grew 12.7% (+$8.1 billion) in the chemical manufacturing subsector'""]",statistics canada,"Innovation, Science and Industry",Finance and Middle Class Prosperity,E. Harper,E. Harper,,0.0,
2023-12-20,"Logging, 2022",https://www150.statcan.gc.ca/daily-quotidien/231220/dq231220e-eng.htm,2024-02-27,"In 2022, the Canadian logging industry's revenue rose by 4.6% to $12.4 billion, with a 5.8% increase in revenue from logging activities to $11.4 billion, driven by a 24.1% average price increase for forestry products. Expenses outpaced revenue growth at 6.8%, reaching $11.9 billion, with materials and supplies costs up 8.0% to $5.7 billion and energy-related costs up 25.0%. Salaries and wages slightly increased by 1.9% to $1.8 billion. Quebec led provincial revenue growth at 10.9%, with the top five provinces accounting for 96.5% of national revenue. Expenses represented 96% of total revenue, up from 94% in 2021.","[""'Total revenue in the logging industry increased 4.6% (+$547.0 million) to $12.4 billion in 2022 compared with 2021"", 'Revenue from logging activities—which excludes revenue from other sources, such as secondary business activities—was up 5.8% (+$628.8 million) from 2021', 'The cost of materials and supplies grew 8.0% (+$419.1 million), to reach $5.7 billion, for all logging activities', 'Total salaries and wages for the logging industry increased 1.9% (+$34.2 million) to $1.8 billion in 2022', 'Quebec (+$250.4 million; +10.9%) saw the largest increase', ""Manitoba saw the fastest growth of all the provinces (+$23.5 million; +51.5%)'""]",statistics canada,Natural Resources,"Agriculture, Agri-Food and Food Security",C. MacDonald,Y. Zhu,,0.0,
2023-12-19,"Canada's population estimates, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/231219/dq231219c-eng.htm,2024-02-27,"Canada's population reached 40.5 million on October 1, 2023, marking a record quarterly growth rate since 1957, primarily driven by international migration. In the third quarter, 96% of the growth was due to immigration, with 107,972 new immigrants. Alberta led interprovincial migration gains, while British Columbia faced losses. The total population increase for the first nine months of 2023 surpassed any full-year growth since 1867. The number of non-permanent residents rose by 312,758, the largest quarterly increase since 1971. Immigration is expected to continue as the main growth factor due to aging demographics and lower birth rates.","[""'Canada's population was estimated at 40,528,396 on October 1, 2023, an increase of 430,635 people (+1.1%) from July 1."", 'This was the highest population growth rate in any quarter since the second quarter of 1957 (+1.2%).', ""Canada's total population growth for the first nine months of 2023 (+1,030,378 people) had already exceeded the total growth for any other full-year period since Confederation in 1867."", 'In the third quarter of 2023, the vast majority (96.0%) of the population growth was due to international migration.', 'Canada welcomed 107,972 immigrants in the third quarter.', ""From January to September 2023, immigration reached 79.8% (371,299) of Immigration, Refugees and Citizenship Canada's target of 465,000 immigrants for the year."", 'The total non-permanent resident population increased from 2,198,679 to 2,511,437.', 'This represents a net increase of 312,758 non-permanent residents in the third quarter, which is the greatest quarterly increase going back to 1971.', ""Alberta has registered interprovincial migration gains of 10,000 or more for five consecutive quarters for the first time since comparable data were made available (1971).'""]",statistics canada,"Immigration, Refugees and Citizenship",Finance and Middle Class Prosperity,Y. Zhu,Y. Zhu,,0.0,
2023-12-19,"Student pathways through postsecondary education, 2011 to 2021",https://www150.statcan.gc.ca/daily-quotidien/231219/dq231219g-eng.htm,2024-02-27,"Statistics Canada has released data on postsecondary education pathways for students who entered college or university between 2011 and 2021. The report includes persistence rates (year-to-year enrollment) and graduation rates, broken down by qualification, field of study, age, gender, and student status in Canada. The findings are available nationally and by province/territory, sourced from the Postsecondary Student Information System.","[""'Postsecondary education pathways of college and university students from 2011 to 2021 released by Statistics Canada'""]",statistics canada,"Employment, Future Workforce Development and Disability Inclusion",Education and Youth,E. Harper,E. Harper,,0.0,
2023-12-19,Early learning and child care: data tables,https://www150.statcan.gc.ca/daily-quotidien/231219/dq231219i-eng.htm,2024-02-27,"The new data from the 2019 to 2022 Labour Force Survey and the 2021 Census of Population provides insights into the demographics of children aged 0-5 and 6-12, the workforce in child care, and the employment status of parents. It reveals the number of children with employed mothers and those with all parents working. This information is set to be included in the Early Learning and Child Care Information Hub, which will serve as a repository for such data.",['There are no headline-worthy quotes provided in the content supplied.'],statistics canada,"Families, Children and Social Development",Education and Early Childhood Development,M. Emes,E. Harper,,0.0,
2023-12-18,"Job vacancies, third quarter 2023",https://www150.statcan.gc.ca/daily-quotidien/231218/dq231218a-eng.htm,2024-02-27,"Job vacancies in Canada decreased by 9.0% to 706,100 in Q3 2023, continuing a downward trend for the fifth consecutive quarter, while payroll employment rose by 0.7%. The unemployment-to-job vacancy ratio increased to 1.7, indicating a less tight labor market. The average offered hourly wage grew by 5.8% year-over-year to $25.60, with variations across occupations. Sales and service occupations saw the largest decline in vacancies, down 32.6% year-over-year. Vacancies also decreased across other broad occupational groups, with health occupations experiencing their first annual decline since 2015. The largest decline in vacancies was for positions requiring a high school diploma or less. Regionally, job vacancies decreased in 26 of 69 economic regions, with Ontario, Quebec, and British Columbia seeing the largest drops.","[""'Job vacancies fell by 69,900 (-9.0%) to 706,100 in the third quarter"", 'payroll employment rose by 117,600 (+0.7%) in the third quarter of 2023', 'the job vacancy rate...decreased to 3.9% in the third quarter of 2023', 'there were 1.7 unemployed persons for every job vacancy in the third quarter', '40.3% of businesses expect at least one labour-related obstacle over the next three months', 'the average offered hourly wage grew at a faster pace in the third quarter (+5.8% to $25.60)', 'Job vacancies in sales and service occupations declined by 34,600 (-14.3%) to 206,500 in the third quarter', 'The number of job vacancies declined by 9,300 (-6.5%) to 134,200 in trades, transport and equipment operators', 'job vacancies fell in all 10 broad occupational groups in the third quarter of 2023', 'positions requiring a high school diploma or less (-31.3%; -189,400) saw the largest year-over-year declines in vacancies', ""Ontario (-29,700 to 246,800) reported the largest quarter-over-quarter decline'""]",statistics canada,"Employment, Future Workforce Development and Disability Inclusion",Finance and Middle Class Prosperity,E. Harper,E. Harper,,0.0,
